"In Heather's Sheet",,,,"In Amandus's Sheet",,,"What it SHOULD be",,,"Comment"
"Dar es Salaam","Kinondoni","TGNP","n",,,,,,,
"Dar es Salaam","Kinondoni","T-MARK","n",,,,,,,
"Dar es Salaam","Kinondoni","UDSM Library","n",,,,,,,
"Dar es Salaam","Kinondoni","WAMATA","n",,,,,,,
"Dar es Salaam","Kinondoni","Wino Dev. Association (WIDA)","n",,,,,,"Wino Development Association (WIDA)",
"Dar es Salaam","Kinondoni","Youth Action Volunteers","n",,,,,,,
"Dar es Salaam","Kinondoni","Youth Alive Club","n",,,,,,,
"Dar es Salaam","K'ndoni","CHIYOWONET","n",,,,,,,
"Dar es Salaam","K'ndoni","CISO","n",,,,,,,
"Dar es Salaam","K'ndoni","DAC","n",,,,,,,
"Dar es Salaam","Mtwara urban","Sustainable Youth Dev. Partnership","n",,,,,,"Sustainable Youth Development Partnership",
"Dar es Salaam","Mufindi","UNDP","n",,,,,,,
"Dar es Salaam","Rufiji","MUTA","n",,,,,,,
"Dar es Salaam","Rufiji","Uwazi Arts Group","n",,,,,,,
"Dar es Salaam","Temeke","DAC","n",,,,,,,
"Dar es Salaam","Temeke","Dar  Jogging & Sports Club","n",,,,,,"Dar Jogging & Sports Club",
"Dar es Salaam","Temeke","Global Vision Tanzania","n",,,,,,,
"Dar es Salaam","Temeke","Kigamboni Local Government","n",,,,,,,
"Dar es Salaam","Temeke","Kwetu Counselling","n",,,,,,,
"Dar es Salaam","Temeke","Mafunzo Culture","n",,,,,,,
"Dar es Salaam","Temeke","Manyara Art Group","n",,,,,,,
"Dar es Salaam","Temeke","Ministry of Agriculture and Social Security and Cooperatives","n",,,,,,,
"Dar es Salaam","Temeke","PASADA","n",,,,,,,
"Dar es Salaam","Temeke","Perfect Friends","n",,,,,,,
"Dar es Salaam","Temeke","St. Camillius Youth Theatre Group","n",,,,,,,
"Dar es Salaam","Temeke","Temeke HIV Centre","n",,,,,,,
"Dar es Salaam","Temeke","Temeke Municipality","n",,,,,,,
"Dar es Salaam","Temeke","Temeke Youth Culture","n",,,,,,,
"Dar es Salaam","Temeke","TUKOLENE","n",,,,,,,
"Dar es Salaam","Unguja","East Africa Theatre Institute","n",,,,,,,
"Dar es Salaam","Unguja","Jikinge Sanaa Group","n",,,,,,,
"Dar es Salaam","Unguja","University Of Dar es salaam","n",,,,,,"University of Dar es Salaam",
"Dodoma","Dodoma","ACTION AID TZ (RFA) project of action aid","e","Dodoma","Dodoma","ACTION AID TZ (RFA)",,,"RFA","Project of Action Aid"
"Dodoma","Dodoma","American Life Foundation","n",,,,,,,
"Dodoma","Dodoma","CMCR","n",,,,,,,
"Dodoma","Dodoma","Image  Youth group (DONET)","n",,,,,,"Image Youth Group (DONET)",
"Dodoma","Dodoma","INADES Dodoma","e","Dodoma","Dodoma","INADES",,,"INADES",
"Dodoma","Dodoma","Mvumi Hospital","n",,,,,,,
"Dodoma","Dodoma","PMO Office","n",,,,,,,
"Dodoma","Dodoma","RAC","n",,,,,,,
"Dodoma","Dodoma","TCCIA","e","Dodoma","Dodoma","TCCIA-Dom,Mpwapwa,Kondoa",,,"TCCIA","Dom, Mpwapwa, Kondoa"
"Dodoma","Dodoma","The Relief Dev. Foundation","n",,,,,,"The Relief Development Foundation",
"Dodoma","Kongwa","Home Based Care Group (HBC)- Kibaigwa - GROUP COULD NOT BE IDENTIFIED OR CONTACTED FOR THE SURVEY","e","Dodoma","Kongwa","HBC",,,"HBC",
"Iringa","Iringa","American Pearce corps","e","Iringa","Iringa","Peace Corps",,,"Peace Corps",
"Iringa","Iringa","AMREF","n",,,,,,,
"Iringa","Iringa","Care & Counselling Centre - SPECIFIC CENTRE COULD NOT BE IDENTIFIED FOR THE SURVEY","e","Iringa","Iringa","Care&counseling Centre",,,"Care & Counselling Centre","SPECIFIC CENTRE COULD NOT BE IDENTIFIED FOR THE SURVEY"
"Iringa","Iringa","DAC","n","Iringa","Iringa","DAC",,,,
"Iringa","Iringa","IDYDC","e","Iringa","Iringa","IDYC",,,"IDYDC",
"Iringa","Iringa","RAC","n",,,,,,,
"Iringa","Iringa","Regional Education Officer","n",,,,,,,
"Iringa","Iringa","Regional Youth Officer","e","Iringa","Iringa","Reg Youth Officer",,,"Regional Youth Officer",
"Iringa","Iringa rural","CHASAWAYA","n",,,,,,,
"Iringa","Iringa rural","DAC","n",,,,,,,
