,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
3,"Kibaha SS"," 850 "," 50 "," 100 ",30052,"Kibaha","21573",06-Aug-07,100
4,"Tumbi SS"," 280 "," 26 "," 50 ",30324,"Kibaha","21574",06-Aug-07,50
5,"Kibiti SS"," 648 "," 53 "," 100 ",15,"Kibiti","21591",10-Aug-07,100
6,"Lugoba SS"," 320 "," 27 "," 50 ",81,"Chalinze","21589",16-Aug-07,50
7,"Kitomondo ss / Chalinze ss"," 280 "," 15 "," 50 ",55,"Chalinze","21587",16-Aug-07,50
8,"Maneramango SS"," 317 "," 22 "," 50 ",28085,"Kisarawe","21600",26-Aug-07,50
9,"Minaki SS"," 800 "," 50 "," 100 ",28004,"Kisarawe","19284",23-Aug-07,100
10,"Pwani SS"," 320 "," 20 "," 50 ",30124,"Kibaha","21575",06-Aug-07,50
11,"Ruvu SS"," 633 "," 60 "," 100 ",72,"Mlandizi","21579",07-Aug-07,100
12,"Utete ss"," 306 "," 12 "," 50 ",45,"Rufiji","21590",10-Aug-07,50
13,"Chole ss"," 235 "," 10 "," 50 ",28001,"Kisarawe","21552",25-Aug-07,50
14,"Marian Girls ss"," 300 "," 28 "," 50 ",16,"Bagamoyo","21561",06-Aug-07,50
15,"Mwinyi ss"," 311 "," 23 "," 50 ",12734,"Dsm","21554",15-Aug-07,50
16,"Ikwiriri SS"," 304 "," 19 "," 50 ",75,"Ikwiriri","21592",09-Aug-07,50
17,"Kikaro SS"," 275 "," 13 "," 50 ",48,"Chalinze","21588",16-Aug-07,50
18,"Soga SS"," 380 "," 26 "," 50 ",30288,"Kibaha","21582",07-Aug-07,50
19,"Mkongo SS"," 227 "," 16 "," 50 ",51,"Kibiti","21593",10-Aug-07,50
20,"Kilangalanga SS"," 420 "," 28 "," 50 ",177,"Mlandizi","21580",07-Aug-07,50
21,"Nasibugani ss"," 220 "," 20 "," 50 ",12734,"Dsm","21555",13-Aug-07,50
