,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
36,"Kilimanjaro Boys ss"," 434 "," 40 "," 50 ",34,"Mkuu-Rombo",20536,02-Aug-07," 50 "
37,"Kiraeni Girls ss"," 560 "," 61 "," 75 ",200,"Mkuu-Rombo",20537,05-Aug-07," 75 "
38,"Shauritanga ss"," 350 "," 35 "," 50 ",561,"Mkuu-Rombo",20538,17-Aug-07," 50 "
39,"Chalao ss"," 240 "," 13 "," 50 ",333,"Same",20539,01-Aug-07," 50 "
40,"Chanjagaa ss"," 194 "," 18 "," 50 ",181,"Same",20540,02-Aug-07," 50 "
41,"Kisiwani ss"," 200 "," 14 "," 50 ",20,"Same",20541,05-Aug-07," 50 "
42,"Madiveni ss"," 192 "," 13 "," 50 ",35,"Same",20542,02-Aug-07," 50 "
43,"Kindoroko ss"," 180 "," 18 "," 50 ",8214,"Same",20543,13-Aug-07," 50 "
44,"Kilomeni ss"," 198 "," 11 "," 50 ",23,"Mwanga",20544,02-Aug-07," 50 "
45,"Vudoi ss"," 640 "," 35 "," 75 ",157,"Mwanga",20545,13-Aug-07," 75 "
46,"Kifaru ss"," 621 "," 20 "," 75 ",16,"Mwanga",20546,"07/08/0702/08/0702/08/07"," 75 "
47,"Mkombozi ss"," 320 "," 18 "," 50 ",75,"Hedaru",,,
48,"Hedaru ss"," 460 "," 43 "," 50 ",75,"Hedaru",20548,02-Aug-07,50
49,"Jitengeni ss"," 135 "," 8 "," 50 ",20,"Kihurio Gonja",20549,02-Aug-07,50
50,"Anna Mkapa ss",,," 50 ",,"Moshi",20550,01-Aug-07,50
51,"Dindimo ss"," 96 "," 8 "," 50 ",22,"Same",20751,20-Aug-07,50
52,"Shighatini ss"," 313 "," 12 "," 50 ",12,"Ugweno",20752,02-Aug-07,50
53,"Mwanga ss"," 420 "," 25 "," 50 ",144,"Mwanga",20753,13-Aug-07,50
54,"Kigango ss",,," 50 ",138,"Same",20754,02-Aug-07,50
55,"Msaranga ss",,," 50 ",,"Moshi",20755,31-Jul-07,50
56,"Same Seminary",,," 50 ",8,"Same",20756,02-Aug-07,50
57,"Uchira ss"," 315 "," 20 "," 50 ",3042,"Moshi(v)",20757,31-Jul-07,50
58,"St. James Sem.Kilema",,," 50 ",1927,"Moshi(v)",20758,31-Jul-07,50
59,"Uomboni ss"," 200 "," 15 "," 50 ",209,"Marangu",20759,02-Aug-07,50
60,"St.Margaret Girls ss",,," 50 ",85,"Himo",20760,30-Jul-07,50
61,"Kiriki ss"," 560 "," 33 "," 75 ",7,"Usangi",20761,30-Jul-07,75
62,"Makanya ss"," 252 "," 16 "," 50 ",84,"Makanya Same",20762,02-Aug-07,50
63,"Mawela ss"," 308 "," 16 "," 50 ",564,"Moshi",20763,02-Aug-07,50
64,"Kigonigoni ss"," 264 "," 9 "," 50 ",135,"Mwanga",20764,30-Jul-07,50
65,"Makalema ss"," 442 "," 18 "," 50 ",423,"Mkuu-Rombo",20765,30-Jul-07,50
66,"Uru ss"," 516 "," 45 "," 75 ",1512,"Moshi(v)",20766,13-Aug-07,75
67,"Kibohehe ss"," 230 "," 16 "," 50 ",722,"Moshi",20767,16-Aug-07,50
68,"Nyerere ss"," 340 "," 22 "," 50 ",19,"Lembeni",20768,13-Aug-07,50
69,"Mawenzi ss"," 1,560 "," 95 "," 75 ",478,"Moshi",20769,31-Jul-07,75
70,"Moshi  SS"," 875 "," 75 "," 75 ",3021,"Moshi",20770,01-Aug-07,75
71,"Langasani ss"," 250 "," 20 "," 50 ",158,"Moshi(v)",20771,30-Jul-07,50
72,"Makomu ss"," 244 "," 13 "," 50 ",127,"Marangu",20772,02-Aug-07,50
73,"Kibosho ss"," 750 "," 42 "," 100 ",625,"Moshi(v)",20773,13-Aug-07,100
74,"Kirua ss",,," 50 ",1515,"Moshi(v)",20774,16-Aug-07,50
75,"Shimbwe ss"," 260 "," 19 "," 50 ",7227,"Moshi(v)",20775,29-Aug-07,50
76,"Pakula ss  Uparo ss"," 290 "," 12 "," 50 ",8757,"Moshi(v)",20776,30-Jul-07,50
77,"Darajani SS"," 289 "," 22 "," 50 ",385,"Moshi(v)",20777,07-Aug-07,50
78,"Kwizu ss"," 216 "," 14 "," 50 ",381,"Mboga Same",20778,02-Aug-07,50
79,"Kironganya ss"," 120 "," 20 "," 50 ",260,"Usangi",20779,09-Aug-07,50
80,"Mrike ss"," 295 "," 20 "," 50 ",183,"Mkuu-Rombo",20780,17-Aug-07,50
81,"Longoi ss"," 150 "," 10 "," 50 ",8889,"Hai",20781,12-Sep-07,50
82,"Kibo ss"," 85 "," 6 "," 50 ",836,"Moshi",20782,01-Aug-07,50
83,"Kishumundu ss"," 320 "," 21 "," 50 ",3014,"Moshi(v)",20783,29-Aug-07,50
84,"Kisomachi ss"," 320 "," 15 "," 50 ",901,"Moshi(v)",20784,16-Aug-07,50
85,"Lombeta ss"," 310 "," 21 "," 50 ",3041,"Moshi(v)",20785,15-Aug-07,50
86,"Narumu ss"," 335 "," 32 "," 50 ",3041,"Hai",20786,02-Aug-07,50
87,"Ng'uni ss"," 258 "," 17 "," 50 ",8889,"Hai",20787,15-Aug-07,50
88,"St.Dorcas seminary",,," 50 ",6411,"Hai",20788,15-Aug-07,50
89,"Mt.Kilimanjaro ss",,," 50 ",136,"Moshi",20789,01-Aug-07,50
90,"Greenbird Girls ss",,," 50 ",56,"Mwanga",20790,30-Jul-07,50
91,"Visitation Girls ss",,," 50 ",3041,"Moshi(v)",20791,15-Aug-07,50
92,"Nkokashu ss"," 400 "," 31 "," 50 ",8889,"Hai",20792,02-Aug-07,50
93,"Olduvai ss"," 160 "," 12 "," 50 ",697,"Moshi(v)",20793,15-Aug-07,50
94,"Boloti ss",,," 50 ",158,"Hai",20794,15-Aug-07,50
95,"Kirumbiu ss   Kilobeni ss",,," 50 ",9554,"Hai",20795,30-Jul-07,50
96,"Msufini ss",,," 50 ",8169,"Hai",20796,28-Aug-07,50
97,"Nronga ss"," 320 "," 19 "," 50 ",1697,"Hai",20797,15-Aug-07,50
98,"Umburi ss"," 213 "," 16 "," 50 ",727,"Hai",20798,30-Jul-07,50
99,"Uroki ss"," 192 "," 13 "," 50 ",8663,"Hai",20799,02-Aug-07,50
100,"Mudio Islamic Seminary",,," 50 ",8387,"Hai",20800,02-Aug-07,50
101,"Agape Lutheran Jnr sem",,," 50 ",8882,"Moshi(v)",20801,02-Aug-07,50
102,"Kilimanjaro Academy",,," 50 ",1501,"Moshi",20802,31-Jul-07,50
103,"Majengo ss"," 1,200 "," 47 "," 100 ",1091,"Moshi",20803,01-Aug-07,100
104,"Moshi Int'l school",,," 50 ",136,"Moshi",20804,31-Jul-07,50
105,"Kaloleni Islamic sem.",,," 50 ",10221,"Moshi",20805,01-Aug-07,50
106,"K'njaro Mahadil Islamic",,," 50 ",178,"Moshi",20806,01-Aug-07,50
107,"Wazalendo ss"," 400 "," 16 "," 50 ",474,"Moshi",20807,01-Aug-07,50
108,"St.mary's Goreti ss",,," 75 ",925,"Moshi",20808,01-Aug-07,75
109,"Pasua ss"," 320 "," 28 "," 50 ",8120,"Moshi",20809,01-Aug-07,50
110,"J.K.Nyerere ss"," 520 "," 35 "," 75 ",3084,"Moshi",20810,01-Aug-07,75
111,"Ifati ss"," 260 "," 16 "," 50 ",8899,"Moshi(v)",20811,02-Aug-07,50
112,"Komakya ss"," 320 "," 22 "," 50 ",1645,"Moshi(v)",20812,02-Aug-07,50
113,"Mnini ss"," 268 "," 12 "," 50 ",8467,"Moshi(v)",20813,03-Aug-07,50
114,"Kolila ss"," 620 "," 43 "," 75 ",16,"Moshi(v)",20814,02-Aug-07,75
115,"Kidia ss"," 261 "," 21 "," 50 ",317,"Moshi(v)",20815,02-Aug-07,50
116,"Kahe ss"," 285 "," 24 "," 50 ",541,"Moshi(v)",20816,02-Aug-07,50
117,"Bishop Moshi ss",,," 50 ",128,"Marangu",20817,07-Aug-07,50
118,"Mlama ss"," 403 "," 35 "," 50 ",2055,"Moshi(v)",20818,02-Aug-07,50
119,"Natiro ss"," 320 "," 23 "," 50 ",730,"Moshi(v)",20819,02-Aug-07,50
120,"Nsoo ss"," 320 "," 18 "," 50 ",8053,"Moshi(v)",20820,30-Jul-07,50
121,"Uru Seminary",,," 50 ",1867,"Moshi(v)",20821,02-Aug-07,50
122,"Mashingia Day ss"," 320 "," 23 "," 50 ",8149,"Moshi(v)",20822,31-Jul-07,50
123,"Usangi Day ss"," 400 "," 30 "," 50 ",19,"Usangi",20823,02-Aug-07,50
124,"Minja ss"," 520 "," 35 "," 75 ",7045,"Ugweno",20824,05-Aug-07,75
125,"Usangi Girls ss",,," 50 ",202,"Usangi",20825,02-Aug-07,50
126,"Karanga ss",,," 50 ",191,"Moshi",20826,01-Aug-07,50
127,"Chaangaja C Msuya ss",,," 50 ",16,"Mwanga",20827,"30/0707",50
128,"Matolo ss"," 471 "," 28 "," 50 ",446,"Mkuu-Rombo",20828,17-Aug-07,50
129,"Mkuu ss"," 665 "," 28 "," 100 ",145,"Mkuu-Rombo",20829,30-Jul-07,100
130,"Usseri ss"," 360 "," 34 "," 50 ",17,"Usseri Rombo",20830,17-Aug-07,50
131,"Ungwasi ss"," 380 "," 26 "," 50 ",191,"Mkuu-Rombo",20831,02-Aug-07,50
132,"Mtii ss"," 286 "," 15 "," 50 ","p/bag","Same",20832,02-Aug-07,50
133,"Ndungu ss"," 240 "," 10 "," 50 ","p/bag","Same",20833,30-Jul-07,50
134,"Ntenga ss"," 280 "," 11 "," 50 ",263,"Same",20834,02-Aug-07,50
135,"Manka ss"," 380 "," 18 "," 50 ",35,"Same",20835,02-Aug-07,50
136,"Parane ss"," 312 "," 22 "," 50 ",22,"Same",20836,02-Aug-07,50
137,"Myamba ss",,," 50 ",275,"Same",20837,02-Aug-07,50
138,"Vumari ss"," 100 "," 10 "," 50 ","p/bag","Same",20838,02-Aug-07,50
139,"Beniko ss"," 192 "," 9 "," 50 ","p/bag","Same",20839,02-Aug-07,50
140,"Kiboroloni ss",,," 50 ",,"Moshi",20840,05-Aug-07,50
141,"Sangiti ss",,," 50 ",,"Moshi(v)",20841,13-Aug-07,50
142,"Somsom ss",,," 50 ",,"Moshi(v)",20842,01-Aug-07,50
143,"Mabogini ss",,," 50 ",,"Moshi(v)",20843,02-Aug-07,50
144,"Ghona ss",,," 50 ",,"Moshi(v)",20844,02-Aug-07,50
145,"Sungu ss",,," 50 ",,"Moshi(v)",20845,02-Aug-07,50
146,"Mbokomu ss",,," 50 ",,"Moshi(v)",20846,02-Aug-07,50
147,"Kindi ss",,," 50 ",,"Moshi(v)",20847,02-Aug-07,50
148,"Okaoni ss",,," 50 ",,"Moshi(v)",20848,15-Aug-07,50
149,"Kamwala ss",,," 50 ",,"Mwanga",20849,30-Jul-07,50
150,"Bombo Day ss",,," 50 ",,"Same",20850,02-Aug-07,50
151,"Kibacha ss",,," 50 ",,"Same",20851,30-Jul-08,50
152,"Miembeni ss",,," 50 ",,"Moshi(m)",20852,01-Aug-07,50
153,"Ibukoni ss",,," 50 ",186,"Mkuu-Rombo",20853,31-Jul-07,50
154,"St James Seminary Kilema",,," 50 ",19,"Kilema",20854,01-Aug-07,50
155,"Chimbi ss",,," 50 ",16,"Mwanga",20855,02-Aug-07,50
156,"Lembeni",,," 50 ",19,"Lembeni",20856,11-Aug-07,50
157,"Ugweno Day  ss",,," 50 ",,"Mwanga",20857,20-Aug-07,50
158,"Kimala ss",,," 50 ",,"Same",20858,02-Aug-07,50
159,"Vudee ss",,," 50 ",,"Same",20859,02-Aug-07,50
160,"Nkuu ss",,," 50 ",,"Hai",20860,15-Aug-07,50
161,"Kambarage ss",,," 50 ",,"Hai",20861,15-Aug-07,50
162,"Harambee ss",,," 50 ",,"Hai",20862,02-Aug-07,50
163,"Lyasikika ss",,," 50 ",,"Hai",20863,06-Aug-07,50
164,"Magadini ss",,," 50 ",,"Hai",20864,15-Aug-07,50
165,"Northern Highlands SS",,," 50 ",,,20865,31-Jul-07,50
166,"Hai Day ss",,," 50 ",,"Hai",20866,02-Aug-07,50
167,"Nuru ss",,," 50 ",,"Hai",20867,02-Aug-07,50
168,"Marangu TTC",,," 100 ",,"Same",20868,07-Aug-07,100
169,"SINGACHINI",,," 50 ","P.O.BOX 586","MOSHI",20869,13-Aug-07,50
170,"Vunta ss",,," 50 ",,"Same",20870,02-Aug-07,50
171,"SUUMU ss",,," 50 ",,"Hai",20871,02-Aug-07,50
172,"Kisarika ss  Kimochi ss",,," 50 ",,"Moshi",20872,30-Jul-07,50
173,"Eden Garden ss",,," 50 ",,"Moshi",20873,31-Jul-07,50
174,"Kinima ss",,," 50 ",,"Moshi",20874,13-Aug-07,50
175,"Anwante ss",,," 50 ",,"Moshi",20875,30-Jul-07,50
176,"Kilingi Day ss",,," 50 ",,"Hai",20876,02-Aug-07,50
177,"Mtakuja ss",,," 50 ",,"Moshi",20877,02-Aug-07,50
178,"Mangi Marielle ss",,," 50 ",,"Himo",20878,30-Jul-07,50
179,"Masama Girls ss",,," 50 ",,"Moshi",20879,02-Aug-07,50
180,"Chome ss",,," 50 ",,"Same",20880,02-Aug-07,50
181,"Kirinjiko Islamic seminary",,," 50 ",,"Mwanga",20881,02-Aug-07,50
182,"Kileo ss",,," 50 ",,"Mwanga",20882,30-Jul-07,50
183,"Suji ss",,," 50 ",,,,,
,," 42,740 "," 2,815 "," 10,050 ",,,,," 9,950 "
,"LINDI",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Kilwa SS"," 286 "," 18 "," 50 ",171,"Kilwa Masoko","20460",03-Aug-07,50
2,"Kipatimu SS"," 312 "," 20 "," 50 ",47,"Kilwa","20487",17-Aug-07,50
3,"Lindi SS"," 320 "," 30 "," 50 ",1082,"Lindi","20468",07-Aug-07,50
4,"Mbekenyera SS "," 320 "," 13 "," 50 ",53,"Ruangwa","20456",11-Aug-07,50
5,"Mnero SS"," 280 "," 16 "," 50 ",320,"Nachingwea","20485",16-Aug-07,50
6,"Mahiwa SS"," 270 "," 21 "," 50 ",129,"Mtama","20464",08-Aug-07,50
7,"Mtama SS"," 230 "," 20 "," 50 ",23,"Mtama","20454",01-Aug-07,50
8,"Liwale Day SS"," 640 "," 20 "," 75 ",139,"Liwale","20474",06-Aug-07,75
9,"Nachingwea SS"," 320 "," 23 "," 50 ",20,"Nachingwea","20482",08-Aug-07,50
10,"Mchinga SS"," 265 "," 20 "," 50 ",86,"Lindi","20476",11-Aug-07,50
11,"Nyangao SS"," 365 "," 21 "," 50 ",49,"Lindi","20465",04-Aug-07,50
12,"Nkowe ss "," 365 "," 20 "," 50 ",51,"Ruangwa","20453",01-Aug-07,50
13,"Nchinga ss / Kivinje ss"," 265 "," 18 "," 50 ",230,"Lindi","20463",04-Aug-07,50
14,"Matanda ss"," 280 "," 16 "," 50 ","P/bag","Kilwa","20489",17-Aug-07,50
15,"Matekwe ss"," 23 "," 17 "," 50 ",237,"Nachingwea","20484",16-Aug-07,50
16,"Rundo Junior Sem. / Dodomezi ss"," 230 "," 20 "," 50 ","P/bag","Lindi","20461",03-Aug-07,50
17,"Mitole ss "," 300 "," 23 "," 50 ",24,"Kilwa Masoko","20488",17-Aug-07,50
18,"Mkonge ss "," 245 "," 18 "," 50 ",29,"Lindi","20458",02-Aug-07,50
19,"Namupa seminary ",180,20," 50 ",1002,"Lindi","20466",09-Aug-07,50
20,"NACHINGWEA TTC",,," 75 ",42,"Nachingwea","20481",08-Aug-07,75
21,"Ruponda ss / Nyengedi ss",,," 50 ",,,"20467",09-Aug-07,50
22,"Stesheni ss / Nanyanje ss",,," 50 ",,,"18633",19-Aug-07,50
23,"Lionja ss / Ruangwa ss",,," 50 ",,,"20452",01-Aug-07,50
24,"Kinjumbi ss / Mnacho ss",,," 50 ",,,"20457",04-Aug-07,50
25,"Mingumbi ss",,," 50 ",,,"20461",03-Aug-07,50
26,"Mchumo ss",,," 50 ",,,,,
27,"Miteja ss",,," 50 ",,,"20490",17-Aug-07,50
28,"Barikiwa ss",,," 50 ",,,"20483",16-Aug-07,50
29,"Nicodemus Banduka ss",,," 50 ",,,"20477",16-Aug-07,50
30,"R.M Kawawa ss",,," 50 ",,,"20478",06-Aug-07,50
31,"Kibutuka ss",,," 50 ",,,"20479",04-Aug-07,50
32,"Nangano ss",,," 50 ",,,"20472",04-Aug-07,50
33,"Ngongo ss",,," 50 ",,,"20459",02-Aug-07,50
34,"Mingoyo ss",,," 50 ",,,"20455",07-Aug-07,50
35,"Milola ss / Mtanga ss",,," 50 ",,,"20462",03-Aug-07,50
36,"Madangwa ss",,," 50 ",,,"20469",07-Aug-07,50
37,"Chuta ss / Mnolela ss",,," 50 ",,,"20470",07-Aug-07,50
38,"Nahukahuka ss / Mbawe ss",,," 50 ",,,"20486",19-Aug-07,50
39,"Mandawa ss / Kiangara ss",,," 50 ",,,"20475",06-Aug-07,50
40,"Nachingwea E.A Farm 17 ss / Kitomanga ss",,," 50 ",,,"20480",12-Aug-07,50
,," 5,496 "," 374 "," 2,050 ",,,,," 2,000 "
,"MANYARA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Endasak SS"," 302 "," 22 "," 50 ",145,"Katesh","7866",10-Aug-07,50
2,"Aldergate ss"," 250 "," 24 "," 50 ",93,"Babati","20373",10-Aug-07,50
3,"Gitting SS / Masieda ss"," 280 "," 15 "," 50 ",157,"Katesh","20391",02-Sep-07,50
4,"Katesh SS"," 280 "," 21 "," 50 ","p/bag","Katesh","7867",10-Aug-07,50
5,"Mulbadaw SS"," 300 "," 20 "," 50 ",141,"Katesh",,,
6,"Nangwa SS"," 250 "," 24 "," 50 ",34,"Katesh","7868",10-Aug-07,50
7,"Sarwat SS"," 339 "," 28 "," 50 ",42,"Mbulu","20375",21-Aug-07,50
8,"Dongobesh SS"," 350 "," 26 "," 50 ",21,"Mbulu","20348",22-Aug-07,50
9,"Kiteto ss"," 340 "," 18 "," 50 ",86,"kibaya kiteto","7852",31-Jul-07,50
10,"Mbugwe ss"," 300 "," 20 "," 50 ",266,"Babati",,,
11,"Gidas ss"," 270 "," 8 "," 50 ",57,"Babati","20377",10-Aug-07,50
12,"Babati Day ss"," 320 "," 21 "," 50 ",126,"Babati","20350",04-Sep-07,50
13,"Manyara ss"," 320 "," 30 "," 50 ",70,"Mto wa mbu","20378",17-Aug-07,50
14,"Simanjiro ss"," 340 "," 15 "," 50 ",14384,"Simanjiro","7851",31-Jul-07,50
15,"Engusero ss"," 320 "," 14 "," 50 ",98,"kibaya kiteto","7853",20-Aug-07,50
16,"Murray ss"," 320 "," 14 "," 50 ",48,"Mbulu","20381",31-Jul-07,50
17,"Bashnet ss"," 300 "," 11 "," 50 ",32,"Babati","20383",10-Aug-07,50
18,"Mnuguni"," 320 "," 15 "," 50 ",565,"Usa River",,,
19,"Chief Dodo ss"," 280 "," 17 "," 50 ",288,"Babati","20384",03-Aug-07,50
20,"Dareda ss"," 340 "," 20 "," 50 ",344,"Babati","20385",13-Aug-07,50
21,"Galapo ss"," 340 "," 24 "," 50 ",75,"Babati","20386",31-Jul-07,50
22,"Madunga ss"," 280 "," 20 "," 50 ",402,"Babati","20387",11-Aug-07,50
23,"Singe ss"," 300 "," 20 "," 50 ",77,"Babati","20388",31-Jul-07,50
24,"Haydom ss"," 300 "," 12 "," 50 ",134,"Mbulu","20389",20-Aug-07,50
25,"Balangidalalu ss"," 280 "," 15 "," 50 ",6,"Katesh","7882",31-Jul-07,50
26,"Daudi ss / Magugu ss"," 340 "," 16 "," 50 ",209,"Mbulu","7869",31-Jul-07,50
27,"Imboru ss"," 720 "," 42 "," 100 ",25,"Mbulu","20392",31-Jul-07,100
28,"Maretadu ss / Hydom ss"," 300 "," 20 "," 50 ",169,"Mbulu","7880",31-Jul-07,50
29,"Maghang ss"," 340 "," 10 "," 50 ",1865,"Mbulu","20393",01-Sep-07,50
30,"Gihandu ss"," 340 "," 17 "," 50 ",1,"Mbulu","20394",22-Aug-07,50
31,"Ufana ss"," 280 "," 14 "," 50 ",281,"Babati","20395",04-Aug-07,50
32,"Tumati ss"," 325 "," 18 "," 50 ",197,"Mbulu",,,
33,"Kainam ss"," 320 "," 12 "," 50 ",158,"Mbulu","20391",31-Jul-07,50
34,"Sanu Seminary"," 234 "," 20 "," 50 ",157,"Mbulu","20398",23-Aug-07,50
35,"Mererani B.W.Mkapa ss"," 350 "," 20 "," 50 ",5018,"Simanjiro","20399",16-Aug-07,50
,," 11,170 "," 663 "," 1,800 ",,,,," 1,600 "
,"MARA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Bunda SS"," 410 "," 20 "," 50 ",400,"Bunda","21001",06-Aug-07," 50 "
2,"Kiagata SS"," 358 "," 20 "," 50 ",420,"Musoma",21002,06-Aug-07," 50 "
3,"Kowak SS"," 450 "," 20 "," 50 ",89,"Tarime",21003,06-Aug-07," 50 "
4,"Kukirango SS"," 320 "," 11 "," 50 ",16,"Musoma",21004,21-Aug-07," 50 "
5,"Magoto SS"," 320 "," 15 "," 50 ",72,"Tarime",21005,10-Aug-07," 50 "
6,"Musoma Tech SS"," 576 "," 44 "," 75 ",54,"Musoma",21006,03-Aug-07," 75 "
7,"Ngoreme SS"," 220 "," 14 "," 50 ",295,"Musoma",21007,21-Aug-07," 50 "
8,"Serengeti SS"," 317 "," 8 "," 50 ",46,"Mugumu",21008,21-Aug-07," 50 "
9,"Mwema SS"," 411 "," 6 "," 50 ",158,"Tarime",21009,21-Aug-07," 50 "
10,"Nyamungu SS / Musoma Utalii ss"," 373 "," 13 "," 50 ",345,"Tarime",21010,09-Aug-07," 50 "
11,"Machochwe SS"," 301 "," 10 "," 50 ",164,"Mugumu",21011,14-Aug-07," 50 "
12,"Ikizu ss"," 780 "," 21 "," 100 ",1,"Ikizu",21012,07-Aug-07," 100 "
13,"Mugango ss"," 303 "," 9 "," 50 ",27,"Musoma",21013,21-Aug-07," 50 "
14,"Mogabiri SS"," 313 "," 13 "," 50 ",101,"Tarime",21014,21-Aug-07," 50 "
15,"Masonga SS"," 314 "," 20 "," 50 ",29,"Shirati",21015,18-Aug-07," 50 "
16,"Tarime SS"," 791 "," 31 "," 100 ",183,"Tarime",21016,21-Aug-07," 100 "
17,"Charya SS"," 401 "," 18 "," 50 ",72,"Shirati",21017,21-Aug-07," 50 "
18,"Nansimo"," 320 "," 14 "," 50 ",316,"Bunda",21018,21-Aug-07," 50 "
19,"Bumangi SS"," 230 "," 13 "," 50 ",208,"Musoma",21019,21-Aug-07," 50 "
20,"Mwiruruma ss / Kwilamba ss"," 163 "," 7 "," 50 ",,"Bunda",21020,21-Aug-07," 50 "
21,"Bulumba ss"," 108 "," 6 "," 50 ",,"Bunda",21021,24-Aug-07," 50 "
22,"Kisangura ss"," 261 "," 10 "," 50 ",171,"Mugumu",21022,21-Aug-07," 50 "
23,"Kambarage ss"," 140 "," 8 "," 50 ",158,"Mugumu",21023,21-Aug-07," 50 "
24,"Bukama ss"," 170 "," 8 "," 50 ",1,"Shirati",21024,21-Aug-07," 50 "
25,"Nyabihore ss"," 320 "," 13 "," 50 ",287,"Musoma",21025,15-Aug-07," 50 "
26,"Kasoma ss"," 300 "," 20 "," 50 ",1364,"Musoma",21026,07-Aug-07," 50 "
27,"Makongoro ss"," 320 "," 15 "," 50 ",492,"Bunda",21027,07-Aug-07," 50 "
28,"Nyanduga ss"," 231 "," 5 "," 50 ",23,"Tarime",21028,07-Aug-07," 50 "
29,"Bungurere ss"," 288 "," 6 "," 50 ",183,"Tarime",21029,21-Aug-07," 50 "
30,"Mara ss"," 673 "," 29 "," 100 ",193,"Musoma",21030,03-Aug-07," 100 "
31,"Buturi ss"," 206 "," 7 "," 50 ",47,"Tarime",21031,21-Aug-07," 50 "
32,"Manga ss"," 193 "," 5 "," 50 ",305,"Tarime",21032,21-Aug-07," 50 "
33,"Nyamongo ss"," 293 "," 7 "," 50 ",68,"Tarime",21033,21-Aug-07," 50 "
34,"Bwasi ss"," 326 "," 13 "," 50 ",243,"Musoma",21034,02-Aug-07," 50 "
35,"Nyamasanda ss"," 320 "," 13 "," 50 ",20,"Tarime",21035,01-Aug-07," 50 "
36,"Morembe  ss"," 459 "," 20 "," 50 ",128,"Musoma",21036,03-Aug-07," 50 "
37,"Kibara ss"," 440 "," 12 "," 50 ",3,"Kibara-Bunda",21037,21-Aug-07," 50 "
38,"Ikorongo ss"," 106 "," 2 "," 50 ","P/bag","Serengeti",21038,24-Aug-07," 50 "
39,"Ikoma ss"," 196 "," 4 "," 50 ","P/bag","Serengeti",21039,20-Aug-07," 50 "
40,"Mwembeni ss"," 465 "," 21 "," 50 ",93,"Musoma",21040,21-Aug-07," 50 "
41,"Nyegina ss"," 401 "," 12 "," 50 ",78,"Musoma",21041,21-Aug-07," 50 "
42,"Songe ss"," 687 "," 23 "," 100 ",1440,"Musoma",21042,03-Aug-07," 100 "
43,"Nyambureti ss"," 304 "," 9 "," 50 ",158,"Mugumu",21043,13-Aug-07," 50 "
44,"Rwamchanga ss",,," 50 ",,"Serengeti",21044,13-Aug-07," 50 "
45,"Isenye ss"," 470 "," 14 "," 50 ",1,"Serengeti",21045,09-Aug-07," 50 "
46,"Rig'wani ss"," 209 "," 10 "," 50 ",1408,"Serengeti",21046,02-Aug-07," 50 "
47,"Inchugu ss"," 336 "," 11 "," 50 ",207,"Tarime",21047,02-Aug-07," 50 "
48,"Katuru ss"," 281 "," 8 "," 50 ",265,"Shirati",21048,24-Aug-07," 50 "
49,"Irienyi(Suba) ss"," 260 "," 8 "," 50 ",110,"Tarime",21049,21-Aug-07," 50 "
50,"Nyanungu ss"," 273 "," 8 "," 50 ",183,"Tarime",21050,21-Aug-07," 50 "
51,"Nyansicha ss"," 360 "," 13 "," 50 ",197,"Tarime",20746,21-Aug-07," 50 "
52,"Shirati ss / Kibasuka ss"," 425 "," 15 "," 50 ",53,"Shirati",20747,21-Aug-07," 50 "
53,"Makoko Seminary"," 276 "," 17 "," 50 ",283,"Musoma",20748,03-Aug-07," 50 "
54,"Isango ss / Nyamitwebiri ss"," 350 "," 10 "," 50 ",161,"Musoma",20749,09-Aug-07," 50 "
55,"Kiara Victoria ss",,," 50 ",,"Musoma",21651,03-Aug-07," 50 "
56,"Victoria ss",,," 50 ",,"Musoma",21652,03-Aug-07," 50 "
57,"Kisaka ss",,," 50 ",,"Musoma",21653,21-Aug-07," 50 "
58,"Rigicha ss",,," 50 ",,"Mugumu",21654,09-Aug-07," 50 "
59,"Nata ss",,," 50 ",,"Mugumu",21655,09-Aug-07," 50 "
60,"Chamuliho ss",,," 50 ",,"Bunda",21656,10-Aug-07," 50 "
61,"Bukwe ss",,," 50 ",17,"Tarime",21657,13-Aug-07," 50 "
62,"Kabasa ss",,," 50 ",169,"Bunda",21658,06-Aug-07," 50 "
63,"Mwera ss",,," 50 ",,"Tarime",21659,24-Aug-07," 50 "
64,"J.W.Bukanga",,," 50 ",,"Musoma",21660,03-Aug-07," 50 "
65,"Bunda Day ss / Nyaibara ss",,," 50 ",,"Bunda",21661,02-Aug-07," 50 "
66,"Rubana ss",,," 50 ",,"Bunda",21662,06-Aug-07," 50 "
67,"Nyienda ss",,," 50 ",,"Bunda",21663,06-Aug-07," 50 "
68,"Dr.Nchimbi ss",,," 50 ",,"Bunda",21664,06-Aug-07," 50 "
69,"Chitengule ss",,," 50 ",,"Bunda",21665,24-Aug-07," 50 "
70,"Chiisorya ss",,," 50 ",,"Bunda",21666,21-Aug-07," 50 "
